"Anio_hecho","mes_hecho","Nombre_Municipio","Nombre_Departamento","Total_Victimas","Riesgo"
"1948","2","YACOPI - CUNDINAMARCA","CUNDINAMARCA",4,"1"
"1951","4","PAJARITO - BOYACA","BOYACA",6,"1"
"1951","4","RIOBLANCO - TOLIMA","TOLIMA",2,"0"
"1951","4","ROVIRA - TOLIMA","TOLIMA",1,"0"
"1951","4","SAN LUIS - TOLIMA","TOLIMA",1,"0"
"1951","7","SAN SEBASTIAN DE MARIQUITA - TOLIMA","TOLIMA",1,"0"
"1952","4","LIBANO - TOLIMA","TOLIMA",1,"0"
"1952","8","ALVARADO - TOLIMA","TOLIMA",2,"0"
"1954","3","IBAGUE - TOLIMA","TOLIMA",1,"0"
"1954","6","LIBANO - TOLIMA","TOLIMA",1,"0"
"1954","7","NATAGAIMA - TOLIMA","TOLIMA",1,"0"
"1954","8","IBAGUE - TOLIMA","TOLIMA",3,"1"
"1954","8","ORTEGA - TOLIMA","TOLIMA",1,"0"
"1954","9","NATAGAIMA - TOLIMA","TOLIMA",1,"0"
"1954","11","LIBANO - TOLIMA","TOLIMA",1,"0"
"1955","0","IBAGUE - TOLIMA","TOLIMA",1,"0"
"1955","1","ALPUJARRA - TOLIMA","TOLIMA",5,"1"
"1956","8","IBAGUE - TOLIMA","TOLIMA",1,"0"
"1956","12","SANTA ISABEL - TOLIMA","TOLIMA",3,"1"
"1957","2","IBAGUE - TOLIMA","TOLIMA",1,"0"
"1957","9","AIPE - HUILA","HUILA",2,"0"
"1958","1","COYAIMA - TOLIMA","TOLIMA",1,"0"
"1958","1","QUINCHIA - RISARALDA","RISARALDA",1,"0"
"1958","2","DOLORES - TOLIMA","TOLIMA",1,"0"
"1958","3","CORDOBA - QUINDIO","QUINDIO",1,"0"
"1958","4","CAICEDONIA - VALLE DEL CAUCA","VALLE DEL CAUCA",1,"0"
"1958","5","VILLARRICA - TOLIMA","TOLIMA",1,"0"
"1958","6","AMBALEMA - TOLIMA","TOLIMA",2,"0"
"1958","6","CAJAMARCA - TOLIMA","TOLIMA",2,"0"
"1958","6","VENADILLO - TOLIMA","TOLIMA",1,"0"
"1958","9","COLOMBIA - HUILA","HUILA",1,"0"
"1958","12","PALOCABILDO - TOLIMA","TOLIMA",1,"0"
"1959","3","VILLAHERMOSA - TOLIMA","TOLIMA",1,"0"
"1959","4","BOGOTA, D.C. - BOGOTA, D. C.","BOGOTA, D. C.",1,"0"
"1959","8","FOMEQUE - CUNDINAMARCA","CUNDINAMARCA",1,"0"
"1959","11","CUNDAY - TOLIMA","TOLIMA",2,"0"
"1960","1","CHAPARRAL - TOLIMA","TOLIMA",1,"0"
"1960","4","PALERMO - HUILA","HUILA",2,"0"
"1960","12","SANTIAGO DE CALI - VALLE DEL CAUCA","VALLE DEL CAUCA",1,"0"
"1961","0","PUERTO LOPEZ - META","META",3,"1"
"1961","0","SOACHA - CUNDINAMARCA","CUNDINAMARCA",1,"0"
"1961","1","MONIQUIRA - BOYACA","BOYACA",1,"0"
"1961","2","ARMERO - TOLIMA","TOLIMA",3,"1"
"1961","8","TESALIA - HUILA","HUILA",4,"1"
"1961","11","BOGOTA, D.C. - BOGOTA, D. C.","BOGOTA, D. C.",1,"0"
"1962","2","GUADALAJARA DE BUGA - VALLE DEL CAUCA","VALLE DEL CAUCA",1,"0"
"1962","3","SEGOVIA - ANTIOQUIA","ANTIOQUIA",1,"0"
"1962","3","TURBO - ANTIOQUIA","ANTIOQUIA",8,"1"
"1962","10","PUERTO BOYACA - BOYACA","BOYACA",1,"0"
"1963","1","YAGUARA - HUILA","HUILA",3,"1"
